id1,id2,name_jaccard_3gram,name_token_jaccard,num_overlap,pack_type_eq,pack_mat_eq,net_close,match_score,weak_label
3609,6041,1.0,1.0,0.0,1,1,0,0.9997259201300351,1.0
3077,8432,0.72,0.6,0.0,0,0,0,0.38296359241348227,
395,1609,1.0,1.0,0.0,1,1,0,0.9997259201300351,1.0
5941,8321,0.8157894736842105,0.7777777777777778,0.0,0,0,0,0.8766243613452467,
8714,8846,0.7,0.8,1.0,0,0,0,0.7652277102085312,
6177,6319,1.0,1.0,0.0,0,0,0,0.9964266230576636,
3863,3864,1.0,1.0,0.0,0,0,0,0.9964266230576636,
3187,3315,0.6666666666666666,0.6,0.0,0,0,0,0.2705270364416333,
1115,1117,0.75,0.6,0.0,0,0,0,0.4533059868838143,
2484,8268,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
7054,8312,1.0,1.0,0.0,0,0,0,0.9964266230576636,
2329,4193,1.0,1.0,0.0,1,1,0,0.9997259201300351,1.0
8693,8908,0.8367346938775511,0.8181818181818182,0.0,0,0,0,0.9246262779492089,
3240,8022,1.0,1.0,0.0,0,0,0,0.9964266230576636,
5103,5128,1.0,1.0,0.0,0,0,0,0.9964266230576636,
3241,4460,1.0,1.0,0.0,0,1,0,0.9992566165441318,1.0
4435,4440,1.0,1.0,0.0,0,0,0,0.9964266230576636,
3728,4578,1.0,1.0,0.0,0,1,0,0.9992566165441318,1.0
7924,8353,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
7392,7526,1.0,1.0,0.0,0,0,0,0.9964266230576636,
3915,4404,0.76,0.6666666666666666,0.0,0,0,0,0.6169408450767263,
2074,4613,0.7142857142857143,0.6666666666666666,0.0,0,0,0,0.5087959873302813,
3569,3767,0.5416666666666666,0.5,0.0,0,1,0,0.18587679374049354,
814,6265,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
2080,7811,1.0,1.0,0.0,0,0,0,0.9964266230576636,
3510,6570,0.8235294117647058,0.75,0.0,0,0,0,0.8580493645262783,
3527,5985,0.3018867924528302,0.2727272727272727,0.0,0,0,0,0.0006755748388852395,0.0
1022,2242,1.0,1.0,0.0,0,0,0,0.9964266230576636,
174,455,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
7926,8399,0.6666666666666666,0.6666666666666666,0.0,0,0,0,0.39541652136850797,
292,676,1.0,1.0,0.0,0,0,0,0.9964266230576636,
6491,7044,1.0,1.0,0.0,1,0,0,0.99868016311932,1.0
3659,3660,0.8285714285714286,0.7777777777777778,0.0,0,0,0,0.8893640511335118,
10058,10059,0.46875,0.5,0.0,0,0,0,0.02288846020924325,
3267,7751,0.5526315789473685,0.5,0.0,1,1,0,0.40784203082642373,
8585,8974,0.5172413793103449,0.6,1.0,1,1,0,0.5710229483821219,
4782,6591,1.0,1.0,0.0,0,0,0,0.9964266230576636,
